OpenCC繁體,香港繁體,臺灣正體,大陸簡體,日本簡體,異體字
狽,狽,狽,狈,狽,狈
城,城,城,城,城,
素,素,素,素,素,
天,天,天,天,天,靝
蹼,蹼,蹼,蹼,蹼,
葡,葡,葡,葡,葡,
坐,坐,坐,坐,坐,座
鈾,鈾,鈾,铀,鈾,铀
項,項,項,项,項,项
蛀,蛀,蛀,蛀,蛀,
吏,吏,吏,吏,吏,
災,災,災,灾,災,灾烖菑
熊,熊,熊,熊,熊,
闢,闢,闢,辟,闢,辟
扳,扳,扳,扳,扳,攀
衰,衰,衰,衰,衰,
亟,亟,亟,亟,亟,
迥,迥,迥,迥,迥,逈
詹,詹,詹,詹,詹,
繕,繕,繕,缮,繕,缮
貴,貴,貴,贵,貴,贵
越,越,越,越,越,
應,應,應,应,応,应応
厂,厂,厂,厂,厂,廠
界,界,界,界,界,堺畍
摻,摻,摻,掺,摻,掺
等,等,等,等,等,朩
崖,崖,崖,崖,崖,厓崕
椰,椰,椰,椰,椰,㭨
慌,慌,慌,慌,慌,
獨,獨,獨,独,独,独
榕,榕,榕,榕,榕,
姒,姒,姒,姒,姒,
甌,甌,甌,瓯,甌,瓯
眨,眨,眨,眨,眨,
餉,餉,餉,饷,餉,饟饷
纖,纖,纖,纤,繊,繊纎纤
墾,墾,墾,垦,墾,垦
啣,啣,啣,啣,啣,㘅
侈,侈,侈,侈,侈,
菸,煙,菸,烟,煙,烟煙
抖,抖,抖,抖,抖,
死,死,死,死,死,
瞅,瞅,瞅,瞅,瞅,矁
去,去,去,去,去,
嶼,嶼,嶼,屿,嶼,屿
瀆,瀆,瀆,渎,瀆,涜渎
寄,寄,寄,寄,寄,
六,六,六,六,六,
統,統,統,统,統,綂统
浬,浬,浬,浬,浬,
滴,滴,滴,滴,滴,
猓,猓,猓,猓,猓,
蚌,蚌,蚌,蚌,蚌,
范,范,范,范,范,範
爵,爵,爵,爵,爵,
撕,撕,撕,撕,撕,
邕,邕,邕,邕,邕,雍𪪝
跎,跎,跎,跎,跎,𧿶
再,再,再,再,再,
晾,晾,晾,晾,晾,
匈,匈,匈,匈,匈,
輿,輿,輿,舆,輿,舆轝
斜,斜,斜,斜,斜,
欣,欣,欣,欣,欣,忻
梟,梟,梟,枭,梟,枭鴞
盾,盾,盾,盾,盾,
拭,拭,拭,拭,拭,𢂑
奈,奈,奈,奈,奈,柰
鞘,鞘,鞘,鞘,鞘,韒
黝,黝,黝,黝,黝,
巡,巡,巡,巡,巡,廵
翅,翅,翅,翅,翅,翄
瞟,瞟,瞟,瞟,瞟,
塔,塔,塔,塔,塔,㙮墖
牽,牽,牽,牵,牽,牵
鬢,鬢,鬢,鬓,鬢,鬂鬓
略,略,略,略,略,畧
儈,儈,儈,侩,儈,侩
額,額,額,额,額,頟额
賠,賠,賠,赔,賠,赔
勛,勛,勛,勋,勛,勋勲勳
捨,捨,捨,舍,捨,舍
囚,囚,囚,囚,囚,
鱷,鱷,鱷,鳄,鱷,鰐鳄
脇,脇,脇,脇,脇,脅
契,契,契,契,契,
臘,臘,臘,腊,臘,腊臈
船,船,船,船,船,舩
甭,甭,甭,甭,甭,
厲,厲,厲,厉,厲,历厉
瞳,瞳,瞳,瞳,瞳,
通,通,通,通,通,
愎,愎,愎,愎,愎,
刹,刹,刹,刹,刹,剎
璣,璣,璣,玑,璣,玑
鐳,鐳,鐳,镭,鐳,镭
棉,棉,棉,棉,棉,
瘓,瘓,瘓,痪,瘓,痪
置,置,置,置,置,寘
險,險,險,险,険,礆险険
屹,屹,屹,屹,屹,
婆,婆,婆,婆,婆,
屍,屍,屍,尸,屍,尸
粥,粥,粥,粥,粥,鬻
撮,撮,撮,撮,撮,
雰,雰,雰,雰,雰,
啄,啄,啄,啄,啄,
寐,寐,寐,寐,寐,
沁,沁,沁,沁,沁,
螢,螢,螢,萤,蛍,萤蛍
舶,舶,舶,舶,舶,艊
婚,婚,婚,婚,婚,
嘻,嘻,嘻,嘻,嘻,
鼙,鼙,鼙,鼙,鼙,
碘,碘,碘,碘,碘,
熬,熬,熬,熬,熬,
蓄,蓄,蓄,蓄,蓄,
玨,玨,玨,玨,玨,
所,所,所,所,所,
徽,徽,徽,徽,徽,
瓶,瓶,瓶,瓶,瓶,甁缾
悍,悍,悍,悍,悍,
缺,缺,缺,缺,欠,欠
謊,謊,謊,谎,謊,詤谎
簇,簇,簇,簇,簇,
銼,銼,銼,锉,銼,锉
兄,兄,兄,兄,兄,
蔣,蔣,蔣,蒋,蒋,蒋
瑜,瑜,瑜,瑜,瑜,
侍,侍,侍,侍,侍,
輾,輾,輾,辗,輾,辗
頁,頁,頁,页,頁,页
洞,洞,洞,洞,洞,峒
踟,踟,踟,踟,踟,
洶,洶,洶,汹,洶,汹
訛,訛,訛,讹,訛,譌讹
嚶,嚶,嚶,嘤,嚶,嘤
裏,裏,裡,里,裏,裡里
汗,汗,汗,汗,汗,
簽,簽,簽,签,簽,签
岸,岸,岸,岸,岸,
景,景,景,景,景,
嬴,嬴,嬴,嬴,嬴,
級,級,級,级,級,级𨸚
篤,篤,篤,笃,篤,笃
帳,帳,帳,帐,帳,帐賬账
襄,襄,襄,襄,襄,㐮
舟,舟,舟,舟,舟,
禾,禾,禾,禾,禾,
砲,砲,砲,砲,砲,炮礮
顫,顫,顫,颤,顫,颤
煙,煙,煙,烟,煙,完烟菸
闆,闆,闆,板,闆,板
骷,骷,骷,骷,骷,
攘,攘,攘,攘,攘,
政,政,政,政,政,
遵,遵,遵,遵,遵,
疥,疥,疥,疥,疥,
瞭,瞭,瞭,了瞭,瞭,了暸
械,械,械,械,械,
藥,藥,藥,药,薬,药葯薬
蝟,蝟,蝟,猬,蝟,猬
衕,衕,衕,同,衕,同
勒,勒,勒,勒,勒,
倥,倥,倥,倥,倥,
万,万,万,万,万,卍萬
栽,栽,栽,栽,栽,
姚,姚,姚,姚,姚,
舫,舫,舫,舫,舫,
費,費,費,费,費,费
青,青,青,青,青,靑
壯,壯,壯,壮,壮,壮
簞,簞,簞,箪,簞,箪
妖,妖,妖,妖,妖,
訃,訃,訃,讣,訃,讣
羲,羲,羲,羲,羲,
啜,啜,啜,啜,啜,欼歠諁
泱,泱,泱,泱,泱,
殉,殉,殉,殉,殉,侚狥
翔,翔,翔,翔,翔,
淌,淌,淌,淌,淌,
傍,傍,傍,傍,傍,
慇,慇,慇,慇,慇,
苹,苹,苹,苹,苹,蘋
羽,羽,羽,羽,羽,
垮,垮,垮,垮,垮,
毽,毽,毽,毽,毽,
拐,拐,拐,拐,拐,枴柺
吧,吧,吧,吧,吧,
普,普,普,普,普,
芥,芥,芥,芥,芥,
涓,涓,涓,涓,涓,
八,八,八,八,八,捌
胞,胞,胞,胞,胞,脬
腮,腮,腮,腮,腮,顋
觴,觴,觴,觞,觴,觞
肛,肛,肛,肛,肛,
魘,魘,魘,魇,魘,魇
棵,棵,棵,棵,棵,
續,續,續,续,続,続续
萎,萎,萎,萎,萎,荽
芽,芽,芽,芽,芽,
諧,諧,諧,谐,諧,谐龤
引,引,引,引,引,
逃,逃,逃,逃,逃,迯
佳,佳,佳,佳,佳,
處,處,處,处,処,䖏処处
屐,屐,屐,屐,屐,
擧,擧,擧,擧,擧,挙舉
灕,灕,灕,漓,灕,漓
棺,棺,棺,棺,棺,
跺,跺,跺,跺,跺,跥
粉,粉,粉,粉,粉,
豆,豆,豆,豆,豆,荳
烤,烤,烤,烤,烤,
爬,爬,爬,爬,爬,
訕,訕,訕,讪,訕,讪
抱,抱,抱,抱,抱,抔
畦,畦,畦,畦,畦,
渭,渭,渭,渭,渭,
挾,挾,挾,挟,挟,挟
潟,潟,潟,潟,潟,澙
韭,韭,韭,韭,韭,韮
贈,贈,贈,赠,贈,赠贈
能,能,能,能,能,
韃,韃,韃,鞑,韃,鞑
蚣,蚣,蚣,蚣,蚣,
膽,膽,膽,胆,胆,胆
俱,俱,俱,俱,俱,倶
纏,纏,纏,缠,纏,纒缠
黯,黯,黯,黯,黯,
術,術,術,术,術,术
劉,劉,劉,刘,劉,刘
裨,裨,裨,裨,裨,
敕,敕,敕,敕,勅,勅勑
兆,兆,兆,兆,兆,
惴,惴,惴,惴,惴,
酣,酣,酣,酣,酣,
堂,堂,堂,堂,堂,
榔,榔,榔,榔,榔,
刮,刮,刮,刮,刮,颳
娛,娛,娛,娱,娛,娯娱
詞,詞,詞,词,詞,词
貶,貶,貶,贬,貶,贬
唸,唸,唸,念,唸,念
會,會,會,会,会,会
褸,褸,褸,褛,褸,褛
尹,尹,尹,尹,尹,
氷,氷,氷,氷,氷,冫冰
嘈,嘈,嘈,嘈,嘈,䜊
豐,豐,豐,丰,豊,丰豊
衣,衣,衣,衣,衣,
賂,賂,賂,赂,賂,赂
頻,頻,頻,频,頻,频頻
緻,緻,緻,致,緻,致
陀,陀,陀,陀,陀,陁
瘡,瘡,瘡,疮,瘡,疮
覽,覽,覽,览,覧,覧览
珍,珍,珍,珍,珍,珎
爆,爆,爆,爆,爆,
錮,錮,錮,锢,錮,锢
德,德,德,德,徳,徳悳惪
薄,薄,薄,薄,薄,
鏟,鏟,鏟,铲,鏟,剗剷铲
桔,桔,桔,桔,桔,
姻,姻,姻,姻,姻,婣
墩,墩,墩,墩,墩,墪
維,維,維,维,維,维
叵,叵,叵,叵,叵,尀
陳,陳,陳,陈,陳,陈
羔,羔,羔,羔,羔,
祈,祈,祈,祈,祈,祈
息,息,息,息,息,
柴,柴,柴,柴,柴,茈
艇,艇,艇,艇,艇,
熒,熒,熒,荧,熒,荧
膊,膊,膊,膊,膊,
牟,牟,牟,牟,牟,麰
塞,塞,塞,塞,塞,
盃,盃,盃,杯,盃,杯
謬,謬,謬,谬,謬,谬
祕,祕,祕,秘,秘,秘
穀,穀,穀,谷,穀,糓谷穀
晨,晨,晨,晨,晨,
拍,拍,拍,拍,拍,
盈,盈,盈,盈,盈,
全,全,全,全,全,㒰
紉,紉,紉,纫,紉,纫
腋,腋,腋,腋,腋,
廝,廝,廝,厮,廝,㒋厮
碳,碳,碳,碳,碳,
上,上,上,上,上,丄
闖,闖,闖,闯,闖,闯
胤,胤,胤,胤,胤,
至,至,至,至,至,
綵,綵,綵,䌽彩,綵,䌽彩
虛,虛,虛,虚,虚,虚
輒,輒,輒,辄,輒,輙辄
鴿,鴿,鴿,鸽,鴿,鸽
讖,讖,讖,谶,讖,谶
瘁,瘁,瘁,瘁,瘁,
鈔,鈔,鈔,钞,鈔,钞
搗,搗,搗,捣,搗,捣擣
烘,烘,烘,烘,烘,灴
采,采,采,采,采,埰寀採釆
瑩,瑩,瑩,莹,瑩,莹
癮,癮,癮,瘾,癮,瘾
蔚,蔚,蔚,蔚,蔚,嶎
姦,姦,姦,奸,姦,奸
遂,遂,遂,遂,遂,
臼,臼,臼,臼,臼,
魄,魄,魄,魄,魄,
剎,剎,剎,刹,剎,刹
軋,軋,軋,轧,軋,轧
齲,齲,齲,龋,齲,龋
硯,硯,硯,砚,硯,砚
么,么,么,么,么,幺麼麽
爸,爸,爸,爸,爸,
填,填,填,填,填,塡
膚,膚,膚,肤,膚,肤
疑,疑,疑,疑,疑,
妄,妄,妄,妄,妄,
特,特,特,特,特,
足,足,足,足,足,
宗,宗,宗,宗,宗,
氯,氯,氯,氯,氯,綠
允,允,允,允,允,
劇,劇,劇,剧,劇,剧
圓,圓,圓,圆,円,円圆圎
溶,溶,溶,溶,溶,
握,握,握,握,握,
陡,陡,陡,陡,陡,阧
蓿,蓿,蓿,蓿,蓿,
改,改,改,改,改,
杷,杷,杷,杷,杷,朳
龐,龐,龐,庞,龐,厐厖庞龎
躂,躂,躂,跶,躂,跶
遊,遊,遊,游,遊,游
疚,疚,疚,疚,疚,
猙,猙,猙,狰,猙,狰
竟,竟,竟,竟,竟,
票,票,票,票,票,
翻,翻,翻,翻,翻,繙飜
軛,軛,軛,轭,軛,轭
丸,丸,丸,丸,丸,
克,克,克,克,克,剋
蟀,蟀,蟀,蟀,蟀,蜶
弄,弄,弄,弄,弄,
詁,詁,詁,诂,詁,诂
公,公,公,公,公,
葫,葫,葫,葫,葫,
栩,栩,栩,栩,栩,
奮,奮,奮,奋,奮,奋
片,片,片,片,片,
乞,乞,乞,乞,乞,
禮,禮,禮,礼,礼,礼
檯,枱,檯,台,檯,儓台枱
近,近,近,近,近,
乃,乃,乃,乃,乃,廼迺
柿,柿,柿,柿,柿,枾
酗,酗,酗,酗,酗,
嵐,嵐,嵐,岚,嵐,岚
儐,儐,儐,傧,儐,傧
漁,漁,漁,渔,漁,䱷渔
遏,遏,遏,遏,遏,
婉,婉,婉,婉,婉,
蹬,蹬,蹬,蹬,蹬,
簪,簪,簪,簪,簪,𬖂
懣,懣,懣,懑,懣,㥃悶懑
囑,囑,囑,嘱,嘱,嘱
埠,埠,埠,埠,埠,
扮,扮,扮,扮,扮,
制,制,制,制,制,製
皮,皮,皮,皮,皮,
籤,籤,籤,签,籤,签籖
奐,奐,奐,奂,奐,奂
杉,杉,杉,杉,杉,
簡,簡,簡,简,簡,简耕
獺,獺,獺,獭,獺,獭
鄙,鄙,鄙,鄙,鄙,
譁,譁,譁,哗,譁,哗嘩
它,它,它,它,它,佗牠
偌,偌,偌,偌,偌,
頭,頭,頭,头,頭,头
仆,仆,仆,仆,仆,僕
苒,苒,苒,苒,苒,
渺,渺,渺,渺,渺,
月,月,月,月,月,
斫,斫,斫,斫,斫,
域,域,域,域,域,㽣
夙,夙,夙,夙,夙,
蹈,蹈,蹈,蹈,蹈,
疙,疙,疙,疙,疙,
翕,翕,翕,翕,翕,
絕,絕,絕,绝,絶,絶绝
渲,渲,渲,渲,渲,
觀,觀,觀,观,観,覌観观
麥,麥,麥,麦,麦,麦
訣,訣,訣,诀,訣,诀
風,風,風,风,風,凨风
盆,盆,盆,盆,盆,
創,創,創,创,創,刅创刱剙戧
蛛,蛛,蛛,蛛,蛛,鼄
搭,搭,搭,搭,搭,搨撘
實,實,實,实,実,实実寔
甬,甬,甬,甬,甬,埇
樹,樹,樹,树,樹,树
渤,渤,渤,渤,渤,
蔥,葱,蔥,葱,葱,葱
冷,冷,冷,冷,冷,
鏗,鏗,鏗,铿,鏗,铿
敞,敞,敞,敞,敞,
幼,幼,幼,幼,幼,
檀,檀,檀,檀,檀,
般,般,般,般,般,
瘤,瘤,瘤,瘤,瘤,癅
締,締,締,缔,締,缔
即,即,即,即,即,卽
悻,悻,悻,悻,悻,
犖,犖,犖,荦,犖,荦
虧,虧,虧,亏,虧,亏
另,另,另,另,另,
遜,遜,遜,逊,遜,愻逊
魏,魏,魏,魏,魏,巍
工,工,工,工,工,
扔,扔,扔,扔,扔,
朽,朽,朽,朽,朽,
度,度,度,度,度,
柵,柵,柵,栅,柵,栅
掙,掙,掙,挣,掙,挣
胱,胱,胱,胱,胱,
庶,庶,庶,庶,庶,庻
寨,寨,寨,寨,寨,砦
疊,疊,疊,叠,畳,叠曡畳疉迭
束,束,束,束,束,
愾,愾,愾,忾,愾,忾
吠,吠,吠,吠,吠,
嚀,嚀,嚀,咛,嚀,咛
噎,噎,噎,噎,噎,
稻,稻,稻,稻,稲,稲
猥,猥,猥,猥,猥,
器,器,器,器,器,噐器
寢,寢,寢,寝,寝,寝
矮,矮,矮,矮,矮,躷
劍,劍,劍,剑,剣,剑剣剱劒劔釖釼
閉,閉,閉,闭,閉,閇闭
牯,牯,牯,牯,牯,
被,被,被,被,被,
鍍,鍍,鍍,镀,鍍,镀
尷,尷,尷,尴,尷,尲尴
試,試,試,试,試,试
慾,慾,慾,欲,慾,欲
負,負,負,负,負,负
丙,丙,丙,丙,丙,
潰,潰,潰,溃,潰,溃
守,守,守,守,守,
霓,霓,霓,霓,霓,蜺
購,購,購,购,購,购
辣,辣,辣,辣,辣,辢
褓,褓,褓,褓,褓,緥褴
醋,醋,醋,醋,醋,酢
鷥,鷥,鷥,鸶,鷥,鸶
髓,髓,髓,髓,髄,膸髄
緝,緝,緝,缉,緝,缉
鈉,鈉,鈉,钠,鈉,钠
傷,傷,傷,伤,傷,伤
醫,醫,醫,医,医,医
粒,粒,粒,粒,粒,
聿,聿,聿,聿,聿,肀
圃,圃,圃,圃,圃,
淆,淆,淆,淆,淆,殽
滌,滌,滌,涤,滌,涤
而,而,而,而,而,
蹟,蹟,蹟,迹,蹟,跡迹
蟑,蟑,蟑,蟑,蟑,
串,串,串,串,串,
匾,匾,匾,匾,匾,
綳,綳,綳,绷,綳,繃绷
怨,怨,怨,怨,怨,
貉,貉,貉,貉,貉,狢
荒,荒,荒,荒,荒,
惟,惟,惟,惟,惟,
腕,腕,腕,腕,腕,𦙵
鋒,鋒,鋒,锋,鋒,锋
喋,喋,喋,喋,喋,
擺,擺,擺,摆,擺,摆
偷,偷,偷,偷,偷,偸
淀,淀,淀,淀,淀,澱
嚷,嚷,嚷,嚷,嚷,
両,両,両,両,両,两兩
臾,臾,臾,臾,臾,
凌,凌,凌,凌,凌,淩
瑰,瑰,瑰,瑰,瑰,
綁,綁,綁,绑,綁,绑
幫,幫,幫,帮,幫,帮幇幚
詫,詫,詫,诧,詫,诧
鈴,鈴,鈴,铃,鈴,铃
脣,脣,脣,唇,脣,唇
凳,凳,凳,凳,凳,櫈
蠅,蠅,蠅,蝇,蠅,蝇蝿
巳,巳,巳,巳,巳,已
楔,楔,楔,楔,楔,
讒,讒,讒,谗,讒,谗
峻,峻,峻,峻,峻,
麗,麗,麗,丽,麗,丽
賓,賓,賓,宾,賓,宾賔賓
樊,樊,樊,樊,樊,棥
洲,洲,洲,洲,洲,
偕,偕,偕,偕,偕,
笛,笛,笛,笛,笛,篴
綞,綞,綞,缍,綞,缍
賤,賤,賤,贱,賤,贱
涮,涮,涮,涮,涮,
均,均,均,均,均,
湍,湍,湍,湍,湍,
漠,漠,漠,漠,漠,
鎬,鎬,鎬,镐,鎬,镐
物,物,物,物,物,
洽,洽,洽,洽,洽,
伐,伐,伐,伐,伐,
蹲,蹲,蹲,蹲,蹲,
雛,雛,雛,雏,雛,雏鶵
札,札,札,札,札,剳箚
以,以,以,以,以,㠯
婦,婦,婦,妇,婦,妇媍
蜢,蜢,蜢,蜢,蜢,
鏡,鏡,鏡,镜,鏡,镜
假,假,假,假,仮,仮
茲,茲,茲,兹,茲,兹玆
臺,台,臺,台,台,台
鏍,鏍,鏍,镙,鏍,镙
妾,妾,妾,妾,妾,
勘,勘,勘,勘,勘,
存,存,存,存,存,
穹,穹,穹,穹,穹,
齟,齟,齟,龃,齟,龃
廷,廷,廷,廷,廷,
門,門,門,门,門,门
帝,帝,帝,帝,帝,
譜,譜,譜,谱,譜,諩谱
靨,靨,靨,靥,靨,靥
髭,髭,髭,髭,髭,
害,害,害,害,害,
偺,偺,偺,偺,偺,咱昝
堰,堰,堰,堰,堰,
嘗,嘗,嘗,尝,嘗,尝甞
讓,讓,讓,让,譲,譲让
妬,妬,妬,妬,妬,妒
頂,頂,頂,顶,頂,顶𩠑
戡,戡,戡,戡,戡,
士,士,士,士,士,
嘆,歎,嘆,叹,嘆,叹歎嘆
錶,錶,錶,表,錶,表
立,立,立,立,立,
酥,酥,酥,酥,酥,
提,提,提,提,提,
酵,酵,酵,酵,酵,
坦,坦,坦,坦,坦,
拙,拙,拙,拙,拙,
止,止,止,止,止,
謀,謀,謀,谋,謀,谋
翹,翹,翹,翘,翹,翘
芙,芙,芙,芙,芙,
馨,馨,馨,馨,馨,
告,吿,告,告,告,吿
法,法,法,法,法,
電,電,電,电,電,电
捕,捕,捕,捕,捕,
愴,愴,愴,怆,愴,怆
娯,娯,娯,娯,娯,娛
如,如,如,如,如,
搾,搾,搾,搾,搾,
儡,儡,儡,儡,儡,
猾,猾,猾,猾,猾,獪
府,府,府,府,府,
拳,拳,拳,拳,拳,
匪,匪,匪,匪,匪,
擬,擬,擬,拟,擬,儗拟
憬,憬,憬,憬,憬,
貪,貪,貪,贪,貪,贪
徐,徐,徐,徐,徐,
螳,螳,螳,螳,螳,螗
巾,巾,巾,巾,巾,
恰,恰,恰,恰,恰,
狙,狙,狙,狙,狙,
部,部,部,部,部,卩
赳,赳,赳,赳,赳,
踊,踴,踴,踊,踊,踴
浴,浴,浴,浴,浴,
餚,餚,餚,肴,餚,肴
誹,誹,誹,诽,誹,诽
休,休,休,休,休,
掌,掌,掌,掌,掌,
辟,辟,辟,辟,辟,避闢
釣,釣,釣,钓,釣,钓
穌,穌,穌,稣,穌,甦稣
權,權,權,权,権,权権
頓,頓,頓,顿,頓,顿
幀,幀,幀,帧,幀,帧
才,才,才,才,才,纔
煤,煤,煤,煤,煤,
拈,拈,拈,拈,拈,
敷,敷,敷,敷,敷,尃旉
爨,爨,爨,爨,爨,
倨,倨,倨,倨,倨,
子,子,子,子,子,
固,固,固,固,固,
郡,郡,郡,郡,郡,
敦,敦,敦,敦,敦,惇
染,染,染,染,染,
羞,羞,羞,羞,羞,
愚,愚,愚,愚,愚,
卑,卑,卑,卑,卑,卑
欖,欖,欖,榄,欖,榄
房,房,房,房,房,
氦,氦,氦,氦,氦,
鐺,鐺,鐺,铛,鐺,鏜铛
牖,牖,牖,牖,牖,
牧,牧,牧,牧,牧,
育,育,育,育,育,
齪,齪,齪,龊,齪,龊
込,込,込,込,込,
誘,誘,誘,诱,誘,䛻诱
冥,冥,冥,冥,冥,
暹,暹,暹,暹,暹,
櫃,櫃,櫃,柜,櫃,柜樻鐀饋
石,石,石,石,石,𥐘
帚,帚,帚,帚,帚,箒菷
谷,谷,谷,谷,谷,穀
猶,猶,猶,犹,猶,犹
脹,脹,脹,胀,脹,痮胀
蠟,蠟,蠟,蜡,蝋,蜡蝋
竝,竝,竝,竝,竝,並
极,极,极,极,极,極
沈,沈,沈,沈沉,沈,沉瀋
卻,卻,卻,却,却,却
鬆,鬆,鬆,松,鬆,松
墓,墓,墓,墓,墓,
用,用,用,用,用,
捗,捗,捗,捗,捗,
酬,酬,酬,酬,酬,詶酧醻
媒,媒,媒,媒,媒,
函,函,函,函,函,凾圅
噯,噯,噯,嗳,噯,嗳
檻,檻,檻,槛,檻,槛
陷,陷,陷,陷,陥,陥
盎,盎,盎,盎,盎,
筋,筋,筋,筋,筋,觔
鉛,鉛,鉛,铅,鉛,鈆铅
恢,恢,恢,恢,恢,
紼,紼,紼,绋,紼,绋
挑,挑,挑,挑,挑,
潘,潘,潘,潘,潘,
挨,挨,挨,挨,挨,捱
驟,驟,驟,骤,驟,骤
呷,呷,呷,呷,呷,
肋,肋,肋,肋,肋,
瞇,瞇,瞇,瞇,瞇,
株,株,株,株,株,
食,食,食,食,食,饣
蝦,蝦,蝦,虾,蝦,虾鰕
鉀,鉀,鉀,钾,鉀,钾
力,力,力,力,力,
瘋,瘋,瘋,疯,瘋,疯
凱,凱,凱,凯,凱,凯
帑,帑,帑,帑,帑,
惚,惚,惚,惚,惚,
蟹,蟹,蟹,蟹,蟹,蠏
冰,冰,冰,冰,冰,冫氷
謎,謎,謎,谜,謎,谜
拗,拗,拗,拗,拗,抝
鼾,鼾,鼾,鼾,鼾,
躲,躲,躲,躲,躲,躱
凡,凡,凡,凡,凡,凢凣
街,街,街,街,街,亍
婷,婷,婷,婷,婷,
拒,拒,拒,拒,拒,
迂,迂,迂,迂,迂,遇
召,召,召,召,召,
塗,塗,塗,涂,塗,凃涂
擄,擄,擄,掳,擄,掳虜
謹,謹,謹,谨,謹,谨謹
農,農,農,农,農,农莀
啖,啖,啖,啖,啖,㗖啗噉
皁,皂,皁,皂,皁,皂
閃,閃,閃,闪,閃,闪
拾,拾,拾,拾,拾,
裴,裴,裴,裴,裴,裵
磚,磚,磚,砖,磚,甎砖
逞,逞,逞,逞,逞,
伎,伎,伎,伎,伎,
鎖,鎖,鎖,锁,鎖,鎻鏁锁
厘,厘,厘,厘,厘,釐
咨,咨,咨,咨,咨,諮谘
暈,暈,暈,晕,暈,晕
命,命,命,命,命,
修,修,修,修,修,脩
馭,馭,馭,驭,馭,御驭
運,運,運,运,運,运
增,增,增,增,増,増
窒,窒,窒,窒,窒,
秧,秧,秧,秧,秧,
悅,悦,悅,悦,悦,悦
毯,毯,毯,毯,毯,
撓,撓,撓,挠,撓,挠
睜,睜,睜,睁,睜,睁
脆,脆,脆,脆,脆,脃
舂,舂,舂,舂,舂,
茫,茫,茫,茫,茫,
肩,肩,肩,肩,肩,
突,突,突,突,突,宊突
魷,魷,魷,鱿,魷,鰌鰍鱿
樵,樵,樵,樵,樵,
檬,檬,檬,檬,檬,
颯,颯,颯,飒,颯,飒
常,常,常,常,常,
莞,莞,莞,莞,莞,
瘧,瘧,瘧,疟,瘧,疟
拘,拘,拘,拘,拘,
汎,汎,汎,泛,汎,泛
胛,胛,胛,胛,胛,
磯,磯,磯,矶,磯,矶
淨,淨,淨,净,浄,净凈浄
倡,倡,倡,倡,倡,
臃,臃,臃,臃,臃,
艶,艶,艶,艶,艶,艳艷豓豔
愁,愁,愁,愁,愁,
瀏,瀏,瀏,浏,瀏,嚠浏
崁,崁,崁,崁,崁,
祖,祖,祖,祖,祖,祖
玷,玷,玷,玷,玷,
漓,漓,漓,漓,漓,灕
俸,俸,俸,俸,俸,
瀟,瀟,瀟,潇,瀟,潇
賽,賽,賽,赛,賽,赛
骸,骸,骸,骸,骸,
哆,哆,哆,哆,哆,
槓,槓,槓,杠,槓,杠篢
槐,槐,槐,槐,槐,
熱,熱,熱,热,熱,热𤍠
句,句,句,句,句,勾
迸,迸,迸,迸,迸,逬
帘,帘,帘,帘,帘,簾
冶,冶,冶,冶,冶,
漿,漿,漿,浆,漿,浆𤕯
盥,盥,盥,盥,盥,
抒,抒,抒,抒,抒,
羿,羿,羿,羿,羿,
爐,爐,爐,炉,炉,炉
樑,樑,樑,梁,樑,梁
纓,纓,纓,缨,纓,缨
估,估,估,估,估,
睽,睽,睽,睽,睽,
疏,疏,疏,疏,疏,䟽疎踈
榦,榦,榦,干,榦,乾
歉,歉,歉,歉,歉,
饅,饅,饅,馒,饅,馒
沫,沫,沫,沫,沫,
稠,稠,稠,稠,稠,
漣,漣,漣,涟,漣,涟
映,映,映,映,映,暎
陰,陰,陰,阴,陰,阴隂霒𩃬
撬,撬,撬,撬,撬,
悲,悲,悲,悲,悲,
里,里,里,里,里,裏裡
苓,苓,苓,苓,苓,
抵,抵,抵,抵,抵,扺牴
時,時,時,时,時,时旹
囀,囀,囀,啭,囀,啭
稈,稈,稈,秆,稈,秆
敲,敲,敲,敲,敲,
惧,惧,惧,惧,惧,懼
瀉,瀉,瀉,泻,瀉,泻
債,債,債,债,債,债
沅,沅,沅,沅,沅,厵
併,併,併,并,併,並倂并𠊧
贖,贖,贖,赎,贖,赎
穫,穫,穫,获,穫,檴获
荻,荻,荻,荻,荻,
燜,燜,燜,焖,燜,焖
女,女,女,女,女,
琊,琊,琊,琊,琊,
噤,噤,噤,噤,噤,
紹,紹,紹,绍,紹,佋绍
強,強,強,强,強,强彊
彥,彥,彥,彦,彦,彦
盤,盤,盤,盘,盤,盘
暢,暢,暢,畅,暢,昶畅
甸,甸,甸,甸,甸,
竿,竿,竿,竿,竿,𣔼
豕,豕,豕,豕,豕,
焗,焗,焗,焗,焗,
儉,儉,儉,俭,倹,俭倹
玫,玫,玫,玫,玫,玟
褚,褚,褚,褚,褚,
徑,徑,徑,径,径,俓径迳逕
績,績,績,绩,績,绩
夔,夔,夔,夔,夔,
鍰,鍰,鍰,锾,鍰,鐶锾
霎,霎,霎,霎,霎,
杆,杆,杆,杆,杆,桿
滯,滯,滯,滞,滞,滞
歙,歙,歙,歙,歙,
蜀,蜀,蜀,蜀,蜀,
蘸,蘸,蘸,蘸,蘸,
果,果,果,果,果,菓
蹉,蹉,蹉,蹉,蹉,
襪,襪,襪,袜,襪,袜韈韤
余,余,余,余,余,予餘
