OpenCC繁體,香港繁體,臺灣正體,大陸簡體,日本簡體,異體字
枉,枉,枉,枉,枉,
錢,錢,錢,钱,銭,銭钱
由,由,由,由,由,
惹,惹,惹,惹,惹,
四,四,四,四,四,
毒,毒,毒,毒,毒,
褐,褐,褐,褐,褐,褐
覲,覲,覲,觐,覲,觐
坑,坑,坑,坑,坑,阬
當,當,當,当,当,当
蔡,蔡,蔡,蔡,蔡,
漳,漳,漳,漳,漳,
墟,墟,墟,墟,墟,
壽,壽,壽,寿,寿,夀寿
勉,勉,勉,勉,勉,勉
痿,痿,痿,痿,痿,
鬼,鬼,鬼,鬼,鬼,
鱉,鼈,鱉,鳖,鼈,鳖鼈龞
姐,姐,姐,姐,姐,
卽,卽,卽,即,卽,即
榭,榭,榭,榭,榭,
野,野,野,野,野,埜
念,念,念,念,念,唸
顓,顓,顓,颛,顓,颛
佇,佇,佇,伫,佇,伫竚
蒸,蒸,蒸,蒸,蒸,烝
肅,肅,肅,肃,粛,粛肃
起,起,起,起,起,
淄,淄,淄,淄,淄,湽
帽,帽,帽,帽,帽,
淞,淞,淞,淞,淞,
征,征,征,征,征,徵
治,治,治,治,治,
佾,佾,佾,佾,佾,
楨,楨,楨,桢,楨,桢
甜,甜,甜,甜,甜,甛
袂,袂,袂,袂,袂,
茶,茶,茶,茶,茶,
塑,塑,塑,塑,塑,塐
誦,誦,誦,诵,誦,诵
殖,殖,殖,殖,殖,
慍,愠,慍,愠,慍,愠
鏤,鏤,鏤,镂,鏤,镂
癸,癸,癸,癸,癸,
丞,丞,丞,丞,丞,
邏,邏,邏,逻,邏,逻
肪,肪,肪,肪,肪,
乩,乩,乩,乩,乩,
鑼,鑼,鑼,锣,鑼,锣
潔,潔,潔,洁,潔,洁
嗆,嗆,嗆,呛,嗆,呛
襟,襟,襟,襟,襟,衿
析,析,析,析,析,
棘,棘,棘,棘,棘,
笨,笨,笨,笨,笨,㤒
撚,撚,撚,撚,撚,
肉,肉,肉,肉,肉,宍
汕,汕,汕,汕,汕,
毫,毫,毫,毫,毫,
慢,慢,慢,慢,慢,
院,院,院,院,院,
牙,牙,牙,牙,牙,
氏,氏,氏,氏,氏,
憚,憚,憚,惮,憚,惮
卮,卮,卮,卮,卮,巵
掬,掬,掬,掬,掬,匊
曖,曖,曖,暧,曖,暧瞹
瘸,瘸,瘸,瘸,瘸,
侄,侄,侄,侄,侄,姪
釋,釋,釋,释,釈,釈释
杰,杰,杰,杰,杰,傑
拼,拼,拼,拼,拼,摒
御,御,御,御,御,禦馭
臻,臻,臻,臻,臻,
岳,岳,岳,岳,岳,嶽
迴,迴,迴,回,迴,回廻
唐,唐,唐,唐,唐,
慟,慟,慟,恸,慟,恸憅
巖,巖,巖,岩,巌,岩巌
褲,褲,褲,裤,褲,絝綯绔袴裤
棱,稜,稜,棱,稜,楞稜
愉,愉,愉,愉,愉,愈
瞬,瞬,瞬,瞬,瞬,䀢
出,出,出,出,出,岀齣
鵰,鵰,鵰,雕𫛲,鵰,雕𫛲
疼,疼,疼,疼,疼,
濫,濫,濫,滥,濫,滥
繁,繁,繁,繁,繁,緐繁
候,候,候,候,候,𠋫
嗯,嗯,嗯,嗯,嗯,
診,診,診,诊,診,诊
磷,磷,磷,磷,磷,
店,店,店,店,店,坫
袍,袍,袍,袍,袍,
幟,幟,幟,帜,幟,帜旘
澈,澈,澈,澈,澈,徹
聲,聲,聲,声,声,声
已,已,已,已,已,巳
弒,弒,弒,弑,弒,弑
探,探,探,探,探,
嗇,嗇,嗇,啬,嗇,啬
皰,皰,皰,疱,皰,疱
遲,遲,遲,迟,遅,迟遅遟
匿,匿,匿,匿,匿,
糜,糜,糜,糜,糜,
庖,庖,庖,庖,庖,
畝,畝,畝,亩,畝,亩畆畒畮
